gname,Gene name,Normalised expression value,Percentage
Ctrl,GAS1,0.062,0.032
iNOA_B,GAS1,0.06,0.03
iNOA_S,GAS1,0.085,0.072
AZFc_Del,GAS1,0.113,0.079
KS,GAS1,0.049,0.062
Ctrl,CDON,0.01,0.005
iNOA_B,CDON,0.02,0.008
iNOA_S,CDON,0.019,0.014
AZFc_Del,CDON,0.024,0.017
KS,CDON,0.005,0.007
Ctrl,BOC,0.007,0.005
iNOA_B,BOC,0.0,0.0
iNOA_S,BOC,0.003,0.002
AZFc_Del,BOC,0.005,0.004
KS,BOC,0.0,0.0
Ctrl,HHIP,0.018,0.003
iNOA_B,HHIP,0.017,0.008
iNOA_S,HHIP,0.016,0.01
AZFc_Del,HHIP,0.011,0.007
KS,HHIP,0.014,0.01
Ctrl,DHH,0.35,0.235
iNOA_B,DHH,0.286,0.169
iNOA_S,DHH,0.208,0.19
AZFc_Del,DHH,0.593,0.355
KS,DHH,1.088,0.676
